,Unnamed: 0,회차,행정구역시도코드,읍면부동부코드,가구일련번호,가구원일련번호,대표가구원여부,평토일구분코드,성별코드,연령,연령코드,etc_daily,home_daily,work_daily,school_daily,home_weekend,bodyweight,dust_ingestion,inhalaion_rate
59,60,6차,경기,동,26,2,일반가구원,평일,남자,58,50~59세,400,960,80,0,1440,46.6,20,14.61
60,61,6차,경기,동,26,3,일반가구원,평일,여자,30,30~39세,180,780,480,0,1020,51.6,20,14.61
61,62,6차,경기,동,26,4,일반가구원,평일,여자,29,20~29세,80,1280,80,0,1040,73.7,20,14.61
62,63,6차,경기,동,26,5,일반가구원,평일,남자,24,20~29세,360,1080,0,0,700,65.5,20,14.61
63,64,6차,경기,동,27,1,대표가구원,평일,여자,64,60세 이상,110,1330,0,0,1100,43.2,20,14.61
64,65,6차,경기,동,27,2,일반가구원,평일,남자,63,60세 이상,290,1150,0,0,1440,59.9,20,14.61
65,66,6차,경기,동,27,3,일반가구원,평일,남자,36,30~39세,0,1440,0,0,1440,76.7,20,14.61
66,67,6차,경기,동,27,4,일반가구원,평일,여자,38,30~39세,360,830,250,0,1360,63.9,20,14.61
67,68,6차,경기,동,28,1,대표가구원,평일,남자,43,40~49세,180,690,570,0,1320,59.7,20,14.61
68,69,6차,경기,동,28,2,일반가구원,평일,여자,40,40~49세,170,670,600,0,1000,53.2,20,14.61
69,70,6차,경기,동,28,3,일반가구원,평일,여자,66,60세 이상,340,1100,0,0,1220,40.7,20,14.61
70,71,6차,경기,동,30,1,대표가구원,평일,여자,37,30~39세,120,1320,0,0,940,82.0,20,14.61
71,72,6차,경기,동,30,2,일반가구원,평일,남자,37,30~39세,440,800,200,0,1140,67.0,20,14.61
72,73,5차,경기,동,31,1,대표가구원,평일,여자,41,40~49세,80,1180,180,0,1440,46.2,20,14.61
73,74,5차,경기,동,31,2,일반가구원,평일,남자,40,40~49세,40,780,620,0,1190,100.0,20,14.61
74,75,5차,경기,동,32,1,대표가구원,평일,여자,25,20~29세,60,1000,380,0,1200,51.5,20,14.61
75,76,5차,경기,동,33,1,대표가구원,평일,남자,35,30~39세,180,1180,80,0,920,72.7,20,14.61
76,77,5차,경기,동,33,2,일반가구원,평일,여자,30,30~39세,0,1440,0,0,1440,74.3,20,14.61
77,78,5차,경기,동,34,1,대표가구원,평일,여자,32,30~39세,100,930,410,0,1040,51.9,20,14.61
78,79,5차,경기,동,35,1,대표가구원,평일,여자,40,40~49세,0,1440,0,0,1140,49.7,20,14.61
79,80,5차,경기,동,35,2,일반가구원,평일,남자,19,10~19세,0,1440,0,0,1240,61.5,20,14.61
80,81,5차,경기,동,35,3,일반가구원,평일,남자,17,10~19세,80,1020,0,340,1440,59.2,20,12.73
81,82,5차,경기,동,36,1,대표가구원,평일,여자,51,50~59세,60,1060,320,0,880,60.1,20,14.61
82,83,5차,경기,동,36,2,일반가구원,평일,여자,26,20~29세,80,1080,280,0,1440,48.9,20,14.61
83,84,5차,경기,동,37,1,대표가구원,평일,남자,33,30~39세,220,840,380,0,1440,57.5,20,14.61
84,85,5차,경기,동,37,2,일반가구원,평일,여자,33,30~39세,100,1340,0,0,1440,55.4,20,14.61
85,86,5차,경기,동,38,1,대표가구원,평일,남자,29,20~29세,130,1140,170,0,1440,77.2,20,14.61
86,87,5차,경기,동,38,2,일반가구원,평일,여자,29,20~29세,20,1420,0,0,1180,53.2,20,14.61
87,88,5차,경기,동,39,1,대표가구원,평일,여자,69,60세 이상,180,1260,0,0,1120,53.5,20,14.61
88,89,5차,경기,동,41,1,대표가구원,평일,남자,43,40~49세,280,800,360,0,1440,68.3,20,14.61
89,90,5차,경기,동,41,2,일반가구원,평일,여자,44,40~49세,100,1340,0,0,1440,51.4,20,14.61
90,91,5차,경기,동,41,3,일반가구원,평일,남자,11,10~19세,60,1020,0,360,1260,74.2,30,12.73
91,92,5차,경기,동,44,1,대표가구원,평일,여자,49,40~49세,210,850,380,0,520,61.8,20,14.61
92,93,5차,경기,동,44,2,일반가구원,평일,여자,80,60세 이상,120,1320,0,0,1440,48.4,20,14.61
93,94,5차,경기,동,45,1,대표가구원,평일,여자,56,50~59세,0,1440,0,0,0,51.0,20,14.61
94,95,5차,경기,동,45,2,일반가구원,평일,여자,27,20~29세,0,1440,0,0,1440,54.8,20,14.61
95,96,7차,경기,동,47,1,대표가구원,평일,여자,52,50~59세,140,1300,0,0,1440,64.8,20,14.61
96,97,7차,경기,동,47,2,일반가구원,평일,남자,53,50~59세,200,830,410,0,720,70.8,20,14.61
97,98,7차,경기,동,47,3,일반가구원,평일,여자,25,20~29세,120,840,480,0,1440,47.0,20,14.61
98,99,7차,경기,동,48,1,대표가구원,평일,여자,43,40~49세,140,1300,0,0,740,58.4,20,14.61
99,100,7차,경기,동,48,2,일반가구원,평일,남자,46,40~49세,40,920,480,0,1440,92.1,20,14.61
100,101,7차,경기,동,49,1,대표가구원,평일,여자,34,30~39세,100,1140,200,0,1120,47.5,20,14.61
101,102,7차,경기,동,49,2,일반가구원,평일,남자,38,30~39세,440,1000,0,0,0,48.7,20,14.61
102,103,7차,경기,동,50,1,대표가구원,평일,남자,39,30~39세,60,1000,380,0,1240,61.3,20,14.61
103,104,7차,경기,동,51,1,대표가구원,평일,여자,49,40~49세,0,1440,0,0,1260,52.1,20,14.61
104,105,7차,경기,동,51,2,일반가구원,평일,남자,52,50~59세,140,840,460,0,1260,58.3,20,14.61
105,106,7차,경기,동,51,3,일반가구원,평일,여자,23,20~29세,120,1320,0,0,1240,55.2,20,14.61
106,107,7차,경기,동,51,4,일반가구원,평일,남자,20,20~29세,120,1320,0,0,1320,78.9,20,14.61
107,108,7차,경기,동,52,1,대표가구원,평일,여자,54,50~59세,350,980,110,0,900,67.5,20,14.61
108,109,7차,경기,동,52,2,일반가구원,평일,여자,28,20~29세,160,850,430,0,1260,44.4,20,14.61
109,110,7차,경기,동,52,3,일반가구원,평일,여자,24,20~29세,60,1380,0,0,1360,44.9,20,14.61
110,111,7차,경기,동,53,1,대표가구원,평일,남자,33,30~39세,100,700,640,0,1120,88.9,20,14.61
111,112,7차,경기,동,55,1,대표가구원,평일,여자,34,30~39세,60,1050,330,0,980,54.3,20,14.61
112,113,7차,경기,동,55,2,일반가구원,평일,남자,39,30~39세,160,1150,130,0,1210,72.3,20,14.61
113,114,7차,경기,동,57,1,대표가구원,평일,남자,37,30~39세,210,860,370,0,1440,58.9,20,14.61
114,115,7차,경기,동,57,2,일반가구원,평일,여자,38,30~39세,120,960,360,0,1440,42.6,20,14.61
115,116,7차,경기,동,58,1,대표가구원,평일,남자,31,30~39세,60,1380,0,0,1320,73.6,20,14.61
116,117,7차,경기,동,58,2,일반가구원,평일,여자,29,20~29세,140,960,340,0,1200,54.3,20,14.61
117,118,7차,경기,동,59,1,대표가구원,평일,여자,59,50~59세,310,1130,0,0,1080,68.5,20,14.61
118,119,7차,경기,동,59,2,일반가구원,평일,남자,62,60세 이상,240,1070,130,0,1360,77.9,20,14.61
119,120,7차,경기,동,59,3,일반가구원,평일,남자,33,30~39세,60,1150,230,0,1360,66.1,20,14.61
120,121,7차,경기,동,60,1,대표가구원,평일,여자,39,30~39세,240,1200,0,0,1260,64.3,20,14.61
121,122,7차,경기,동,60,2,일반가구원,평일,남자,40,40~49세,100,910,430,0,1440,71.1,20,14.61
122,123,7차,경기,동,60,3,일반가구원,평일,남자,11,10~19세,70,1010,0,360,0,63.6,30,12.73
123,124,5차,경기,동,63,1,대표가구원,평일,여자,31,30~39세,120,1320,0,0,760,50.8,20,14.61
124,125,5차,경기,동,63,2,일반가구원,평일,남자,37,30~39세,180,960,300,0,1260,57.4,20,14.61
125,126,5차,경기,동,64,1,대표가구원,평일,여자,60,60세 이상,100,1000,340,0,1260,59.1,20,14.61
126,127,5차,경기,동,64,2,일반가구원,평일,남자,62,60세 이상,700,740,0,0,1440,69.7,20,14.61
127,128,5차,경기,동,65,1,대표가구원,평일,남자,33,30~39세,100,1100,240,0,1280,81.2,20,14.61
128,129,5차,경기,동,65,2,일반가구원,평일,여자,37,30~39세,140,1300,0,0,260,55.5,20,14.61
129,130,5차,경기,동,66,1,대표가구원,평일,여자,80,60세 이상,0,1440,0,0,1440,58.0,20,14.61
130,131,5차,경기,동,67,1,대표가구원,평일,여자,40,40~49세,80,1360,0,0,0,58.2,20,14.61
131,132,5차,경기,동,67,2,일반가구원,평일,여자,63,60세 이상,20,1420,0,0,1320,62.3,20,14.61
132,133,5차,경기,동,68,1,대표가구원,평일,남자,63,60세 이상,130,960,350,0,1240,59.5,20,14.61
133,134,5차,경기,동,68,2,일반가구원,평일,여자,57,50~59세,120,1320,0,0,1440,54.4,20,14.61
134,135,5차,경기,동,68,3,일반가구원,평일,남자,30,30~39세,170,780,490,0,920,66.9,20,14.61
135,136,5차,경기,동,68,4,일반가구원,평일,남자,11,10~19세,60,1020,0,360,1440,43.9,30,12.73
136,137,5차,경기,동,69,1,대표가구원,평일,남자,60,60세 이상,260,1180,0,0,1320,68.4,20,14.61
137,138,5차,경기,동,69,2,일반가구원,평일,여자,59,50~59세,150,1290,0,0,1270,41.9,20,14.61
138,139,5차,경기,동,69,3,일반가구원,평일,남자,37,30~39세,370,830,240,0,1040,76.6,20,14.61
139,140,5차,경기,동,70,1,대표가구원,평일,남자,62,60세 이상,80,940,420,0,920,54.2,20,14.61
140,141,5차,경기,동,70,2,일반가구원,평일,여자,62,60세 이상,60,980,400,0,1140,58.7,20,14.61
141,142,5차,경기,동,70,3,일반가구원,평일,남자,31,30~39세,20,1020,400,0,1100,64.5,20,14.61
142,143,5차,경기,동,71,1,대표가구원,평일,남자,36,30~39세,120,920,400,0,1440,64.1,20,14.61
143,144,5차,경기,동,71,2,일반가구원,평일,여자,35,30~39세,110,1330,0,0,1240,57.2,20,14.61
144,145,5차,경기,동,72,1,대표가구원,평일,여자,50,50~59세,140,1180,120,0,1260,61.4,20,14.61
145,146,5차,경기,동,72,2,일반가구원,평일,남자,53,50~59세,90,680,670,0,1440,81.0,20,14.61
146,147,5차,경기,동,72,3,일반가구원,평일,남자,23,20~29세,80,1360,0,0,1440,64.2,20,14.61
147,148,5차,경기,동,73,1,대표가구원,평일,여자,72,60세 이상,170,1270,0,0,860,61.4,20,14.61
148,149,5차,경기,동,73,2,일반가구원,평일,남자,78,60세 이상,420,1020,0,0,1240,70.2,20,14.61
149,150,5차,경기,동,75,1,대표가구원,평일,여자,51,50~59세,40,940,460,0,1240,65.9,20,14.61
150,151,5차,경기,동,75,2,일반가구원,평일,남자,56,50~59세,120,900,420,0,1110,80.3,20,14.61
151,152,5차,경기,동,75,3,일반가구원,평일,남자,19,10~19세,0,1440,0,0,1160,63.0,20,14.61
152,153,6차,경기,동,77,1,대표가구원,평일,남자,67,60세 이상,0,1440,0,0,1250,60.0,20,14.61
153,154,6차,경기,동,77,2,일반가구원,평일,여자,65,60세 이상,60,820,560,0,1140,55.2,20,14.61
154,155,6차,경기,동,78,1,대표가구원,평일,여자,51,50~59세,0,1440,0,0,1440,55.3,20,14.61
155,156,6차,경기,동,78,3,일반가구원,평일,남자,24,20~29세,60,880,500,0,1180,76.2,20,14.61
156,157,6차,경기,동,78,4,일반가구원,평일,여자,20,20~29세,140,1020,0,280,1150,63.1,20,14.61
157,158,6차,경기,동,79,1,대표가구원,평일,남자,49,40~49세,180,840,420,0,960,75.0,20,14.61
158,159,6차,경기,동,79,2,일반가구원,평일,여자,44,40~49세,20,1300,120,0,530,80.2,20,14.61
159,160,6차,경기,동,79,3,일반가구원,평일,남자,18,10~19세,240,840,0,360,1440,67.4,20,12.73
160,161,6차,경기,동,79,4,일반가구원,평일,남자,14,10~19세,40,1040,0,360,1440,70.1,20,12.73
161,162,6차,경기,동,80,1,대표가구원,평일,여자,31,30~39세,220,1220,0,0,1110,51.1,20,14.61
162,163,6차,경기,동,80,2,일반가구원,평일,남자,35,30~39세,100,800,540,0,1380,88.4,20,14.61
163,164,6차,경기,동,81,1,대표가구원,평일,남자,60,60세 이상,260,760,420,0,840,81.7,20,14.61
164,165,6차,경기,동,81,2,일반가구원,평일,여자,57,50~59세,180,1260,0,0,1440,52.8,20,14.61
165,166,6차,경기,동,82,1,대표가구원,평일,남자,47,40~49세,20,1140,280,0,1440,71.5,20,14.61
166,167,6차,경기,동,82,2,일반가구원,평일,여자,45,40~49세,40,990,410,0,880,49.7,20,14.61
167,168,6차,경기,동,83,1,대표가구원,평일,남자,68,60세 이상,80,660,700,0,1380,70.8,20,14.61
168,169,6차,경기,동,83,2,일반가구원,평일,여자,65,60세 이상,640,800,0,0,1440,53.3,20,14.61
169,170,6차,경기,동,84,1,대표가구원,평일,남자,43,40~49세,80,1000,360,0,1240,62.2,20,14.61
170,171,6차,경기,동,84,2,일반가구원,평일,여자,40,40~49세,180,1260,0,0,1280,69.5,20,14.61
171,172,6차,경기,동,84,3,일반가구원,평일,남자,14,10~19세,20,1060,0,360,1440,57.2,20,12.73
172,173,6차,경기,동,84,4,일반가구원,평일,남자,11,10~19세,60,1040,0,340,1440,46.1,30,12.73
173,174,6차,경기,동,85,1,대표가구원,평일,남자,40,40~49세,50,910,480,0,1110,81.2,20,14.61
174,175,6차,경기,동,85,2,일반가구원,평일,여자,43,40~49세,90,1230,120,0,1440,48.2,20,14.61
175,176,6차,경기,동,87,1,대표가구원,평일,여자,39,30~39세,30,1020,390,0,840,74.7,20,14.61
176,177,6차,경기,동,87,2,일반가구원,평일,남자,41,40~49세,180,1210,50,0,1440,72.7,20,14.61
177,178,6차,경기,동,88,1,대표가구원,평일,남자,27,20~29세,130,1070,240,0,980,64.6,20,14.61
178,179,6차,경기,동,89,1,대표가구원,평일,남자,27,20~29세,70,1070,300,0,1020,67.0,20,14.61
179,180,6차,경기,동,89,2,일반가구원,평일,남자,26,20~29세,60,780,600,0,1440,69.7,20,14.61
180,181,6차,경기,동,92,1,대표가구원,평일,여자,55,50~59세,90,1000,350,0,780,50.6,20,14.61
181,182,6차,경기,동,92,2,일반가구원,평일,남자,59,50~59세,220,680,540,0,1340,63.6,20,14.61
182,183,6차,경기,동,93,1,대표가구원,평일,남자,54,50~59세,40,1340,60,0,1440,87.2,20,14.61
183,184,6차,경기,동,93,2,일반가구원,평일,여자,50,50~59세,20,960,460,0,1320,52.8,20,14.61
184,185,6차,경기,동,94,1,대표가구원,평일,남자,55,50~59세,70,750,620,0,1270,65.1,20,14.61
185,186,6차,경기,동,95,1,대표가구원,평일,남자,41,40~49세,780,660,0,0,1440,79.0,20,14.61
186,187,6차,경기,동,95,2,일반가구원,평일,여자,39,30~39세,100,480,860,0,360,45.2,20,14.61
187,188,6차,경기,동,95,3,일반가구원,평일,남자,65,60세 이상,260,1180,0,0,1300,70.3,20,14.61
188,189,6차,경기,동,96,1,대표가구원,평일,남자,59,50~59세,580,860,0,0,1060,75.6,20,14.61
189,190,6차,경기,동,97,1,대표가구원,평일,남자,48,40~49세,0,360,1080,0,1420,75.3,20,14.61
190,191,6차,경기,동,97,2,일반가구원,평일,여자,39,30~39세,0,360,1080,0,1220,62.7,20,14.61
191,192,6차,경기,동,97,3,일반가구원,평일,남자,51,50~59세,0,1080,360,0,960,67.4,20,14.61
192,193,6차,경기,동,99,1,대표가구원,평일,남자,50,50~59세,60,960,420,0,1060,61.5,20,14.61
193,194,6차,경기,동,99,2,일반가구원,평일,여자,50,50~59세,160,1280,0,0,1240,65.9,20,14.61
194,195,6차,경기,동,100,1,대표가구원,평일,남자,64,60세 이상,0,1250,190,0,1400,63.5,20,14.61
195,196,6차,경기,동,100,2,일반가구원,평일,여자,65,60세 이상,190,1250,0,0,1380,64.8,20,14.61
196,197,6차,경기,동,101,1,대표가구원,평일,남자,44,40~49세,160,960,320,0,1200,84.3,20,14.61
197,198,6차,경기,동,101,2,일반가구원,평일,여자,49,40~49세,100,1340,0,0,400,53.5,20,14.61
198,199,6차,경기,동,102,1,대표가구원,평일,여자,61,60세 이상,0,1440,0,0,1440,61.8,20,14.61
199,200,6차,경기,동,103,1,대표가구원,평일,남자,56,50~59세,90,890,460,0,1200,70.8,20,14.61
200,201,6차,경기,동,103,2,일반가구원,평일,여자,56,50~59세,130,1310,0,0,1220,68.4,20,14.61
201,202,6차,경기,동,103,3,일반가구원,평일,여자,33,30~39세,130,880,430,0,1440,59.9,20,14.61
202,203,6차,경기,동,103,4,일반가구원,평일,남자,28,20~29세,0,1440,0,0,1370,76.7,20,14.61
203,204,6차,경기,동,104,1,대표가구원,평일,남자,37,30~39세,90,850,500,0,1220,72.4,20,14.61
204,205,6차,경기,동,104,2,일반가구원,평일,여자,37,30~39세,230,1210,0,0,1160,48.7,20,14.61
205,206,7차,경기,동,106,1,대표가구원,평일,남자,39,30~39세,60,1020,360,0,1050,91.5,20,14.61
206,207,7차,경기,동,106,2,일반가구원,평일,여자,36,30~39세,230,1210,0,0,1440,46.3,20,14.61
207,208,7차,경기,동,106,3,일반가구원,평일,남자,25,20~29세,180,1260,0,0,1440,86.1,20,14.61
208,209,7차,경기,동,107,1,대표가구원,평일,남자,40,40~49세,140,840,460,0,1160,70.6,20,14.61
209,210,7차,경기,동,107,2,일반가구원,평일,여자,41,40~49세,300,1140,0,0,940,67.7,20,14.61
210,211,7차,경기,동,108,1,대표가구원,평일,여자,48,40~49세,130,1170,140,0,1440,51.1,20,14.61
211,212,7차,경기,동,108,2,일반가구원,평일,여자,16,10~19세,40,1050,0,350,1250,55.8,20,12.73
212,213,7차,경기,동,110,1,대표가구원,평일,남자,45,40~49세,110,890,440,0,990,66.4,20,14.61
213,214,7차,경기,동,110,2,일반가구원,평일,여자,39,30~39세,170,1270,0,0,1440,54.1,20,14.61
214,215,7차,경기,동,110,3,일반가구원,평일,여자,66,60세 이상,250,1190,0,0,1440,60.7,20,14.61
215,216,7차,경기,동,111,1,대표가구원,평일,남자,63,60세 이상,120,720,600,0,1240,62.9,20,14.61
216,217,7차,경기,동,111,2,일반가구원,평일,여자,56,50~59세,180,1260,0,0,1440,77.1,20,14.61
217,218,7차,경기,동,112,1,대표가구원,평일,남자,64,60세 이상,330,1080,30,0,1080,65.1,20,14.61
218,219,7차,경기,동,112,2,일반가구원,평일,여자,62,60세 이상,50,1390,0,0,1280,51.9,20,14.61
219,220,7차,경기,동,112,3,일반가구원,평일,남자,36,30~39세,170,310,960,0,1330,76.1,20,14.61
220,221,7차,경기,동,114,1,대표가구원,평일,남자,58,50~59세,160,900,380,0,1440,56.7,20,14.61
221,222,7차,경기,동,114,2,일반가구원,평일,여자,55,50~59세,40,1080,320,0,1440,55.0,20,14.61
222,223,7차,경기,동,114,3,일반가구원,평일,여자,27,20~29세,180,940,320,0,770,61.6,20,14.61
223,224,7차,경기,동,114,4,일반가구원,평일,남자,18,10~19세,40,920,0,480,1220,75.1,20,12.73
224,225,7차,경기,동,115,1,대표가구원,평일,남자,54,50~59세,60,1080,300,0,1420,54.6,20,14.61
225,226,7차,경기,동,115,2,일반가구원,평일,여자,51,50~59세,120,1320,0,0,1360,52.9,20,14.61
226,227,7차,경기,동,115,3,일반가구원,평일,여자,25,20~29세,0,1440,0,0,1440,50.7,20,14.61
227,228,7차,경기,동,115,4,일반가구원,평일,남자,23,20~29세,360,1080,0,0,880,64.4,20,14.61
228,229,7차,경기,동,116,1,대표가구원,평일,남자,62,60세 이상,70,750,620,0,1240,59.1,20,14.61
229,230,7차,경기,동,116,2,일반가구원,평일,여자,58,50~59세,100,730,610,0,1000,57.1,20,14.61
230,231,7차,경기,동,116,3,일반가구원,평일,여자,21,20~29세,200,780,0,460,1440,50.6,20,14.61
231,232,7차,경기,동,116,4,일반가구원,평일,여자,16,10~19세,90,960,0,390,1170,44.3,20,12.73
232,233,7차,경기,동,117,1,대표가구원,평일,남자,45,40~49세,0,1440,0,0,1400,76.1,20,14.61
233,234,7차,경기,동,117,2,일반가구원,평일,여자,45,40~49세,70,890,480,0,580,54.7,20,14.61
234,235,7차,경기,동,118,1,대표가구원,평일,남자,43,40~49세,160,940,340,0,1440,61.6,20,14.61
235,236,7차,경기,동,118,2,일반가구원,평일,여자,35,30~39세,280,1160,0,0,0,41.1,20,14.61
236,237,7차,경기,동,120,1,대표가구원,평일,여자,69,60세 이상,160,1280,0,0,600,60.2,20,14.61
237,238,7차,경기,동,120,2,일반가구원,평일,남자,47,40~49세,240,800,400,0,1200,70.5,20,14.61
238,239,7차,경기,동,121,1,대표가구원,평일,여자,44,40~49세,70,1120,250,0,1300,87.6,20,14.61
239,240,7차,경기,동,122,1,대표가구원,평일,남자,58,50~59세,60,920,460,0,1440,67.5,20,14.61
240,241,7차,경기,동,123,1,대표가구원,평일,여자,26,20~29세,20,1420,0,0,1340,79.6,20,14.61
241,242,7차,경기,동,124,1,대표가구원,평일,여자,27,20~29세,0,1440,0,0,1440,58.1,20,14.61
